2024 03 07 00,0.09724137931034482,
2024 03 07 01,0.018620689655172412,
2024 03 07 02,0.0010344827586206895,
2024 03 07 03,0.006206896551724138,
2024 03 07 04,0.001379310344827586,
2024 03 07 05,0.000689655172413793,
2024 03 07 06,0.13448275862068965,
2024 03 07 07,0.31344827586206897,
2024 03 07 08,0.08413793103448276,
2024 03 07 09,0.10620689655172413,
2024 03 07 10,0.24206896551724139,
2024 03 07 11,0.3096551724137931,
2024 03 07 12,0.7510344827586206,
2024 03 07 13,0.6362068965517241,
2024 03 07 14,0.5575862068965517,
2024 03 07 15,0.6406896551724137,
2024 03 07 16,0.5637931034482758,
2024 03 07 17,0.48413793103448277,
2024 03 07 18,0.18999999999999997,
2024 03 07 19,0.3393103448275862,
2024 03 07 20,0.1772413793103448,
2024 03 07 21,0.39034482758620687,
2024 03 07 22,0.6075862068965517,
2024 03 07 23,0.5158620689655172,
